id,country,country_2,city,institution,cond,response,above40,male,coworkers,computer,other_bystanders
10071,1,Argentina,256,4,1,0,0,0,0,1,1
10030,1,Argentina,256,3,0,100,0,0,0,1,1
10117,1,Argentina,266,3,0,100,1,1,0,1,0
10216,1,Argentina,301,4,0,0,0,0,0,1,1
10123,1,Argentina,266,3,1,100,0,1,0,1,1
10219,1,Argentina,301,4,1,0,1,1,1,1,1
10283,1,Argentina,329,5,1,0,0,0,1,1,1
10221,1,Argentina,301,5,0,0,0,0,0,0,1
10364,1,Argentina,332,5,1,0,1,0,1,1,1
10304,1,Argentina,330,3,0,100,1,1,0,1,0
10366,1,Argentina,333,1,0,100,0,0,1,1,1
10017,1,Argentina,256,2,0,100,0,0,1,0,0
10217,1,Argentina,301,4,1,0,1,1,1,1,0
10226,1,Argentina,301,5,1,0,1,1,0,1,1
10375,1,Argentina,333,2,0,100,0,1,1,1,0
10184,1,Argentina,301,1,0,100,1,1,1,1,1
10260,1,Argentina,329,4,0,100,1,1,1,1,1
10271,1,Argentina,329,4,1,100,0,0,0,1,0
10105,1,Argentina,266,2,0,100,1,1,0,1,1
10287,1,Argentina,330,1,0,0,1,0,0,1,1
10236,1,Argentina,329,1,1,100,0,0,0,1,1
10237,1,Argentina,329,1,1,0,0,0,0,1,1
10064,1,Argentina,256,4,1,0,0,1,0,1,1
10245,1,Argentina,329,2,1,100,1,1,1,0,1
10229,1,Argentina,301,5,1,100,0,0,1,1,0
10158,1,Argentina,298,2,0,0,1,0,1,1,1
10387,1,Argentina,333,4,0,100,1,1,1,1,1
10174,1,Argentina,298,4,1,100,0,1,1,1,1
10266,1,Argentina,329,4,1,100,0,0,1,1,0
10034,1,Argentina,256,3,0,100,0,1,1,1,0
10252,1,Argentina,329,3,1,100,0,0,1,1,1
10254,1,Argentina,329,3,1,0,0,1,0,1,1
10095,1,Argentina,266,1,1,100,0,0,1,1,0
10262,1,Argentina,329,4,0,100,1,1,1,1,0
10319,1,Argentina,330,5,1,0,0,0,1,1,0
10257,1,Argentina,329,4,0,0,0,1,1,1,1
10369,1,Argentina,333,1,1,100,1,0,1,1,1
10041,1,Argentina,256,3,1,0,0,0,0,1,1
10078,1,Argentina,256,5,0,0,1,1,1,1,0
10069,1,Argentina,256,4,1,100,0,0,1,1,1
10277,1,Argentina,329,5,0,100,1,0,0,0,0
10074,1,Argentina,256,5,0,0,0,1,1,1,1
10333,1,Argentina,332,2,0,100,1,0,1,1,0
10075,1,Argentina,256,5,0,100,0,1,0,1,1
10202,1,Argentina,301,2,1,100,1,1,1,0,0
10033,1,Argentina,256,3,0,0,0,1,1,1,1
10385,1,Argentina,333,3,1,0,1,1,0,0,0
10350,1,Argentina,332,4,0,0,1,1,1,1,1
10054,1,Argentina,256,4,0,0,0,0,1,1,1
10084,1,Argentina,256,5,1,0,0,0,1,1,1
10306,1,Argentina,330,3,0,0,0,1,0,1,0
10310,1,Argentina,330,3,1,100,1,0,1,1,1
10395,1,Argentina,333,5,0,100,0,0,1,1,1
10376,1,Argentina,333,2,0,0,0,1,0,0,0
10058,1,Argentina,256,4,0,0,1,1,1,1,1
10243,1,Argentina,329,2,0,0,1,0,1,1,1
10153,1,Argentina,298,1,1,0,0,0,0,0,1
10176,1,Argentina,298,5,0,100,1,0,1,1,1
10157,1,Argentina,298,2,0,100,1,0,1,0,0
10274,1,Argentina,329,4,1,100,0,0,1,1,1
10106,1,Argentina,266,2,0,0,0,0,0,1,1
10322,1,Argentina,332,1,0,0,0,1,1,1,1
10213,1,Argentina,301,4,0,0,1,1,1,0,0
10109,1,Argentina,266,2,1,100,1,0,1,1,0
10039,1,Argentina,256,3,1,0,0,1,0,1,1
10111,1,Argentina,266,2,1,100,0,0,1,1,0
10346,1,Argentina,332,3,1,100,0,0,0,1,1
10128,1,Argentina,266,3,1,100,0,1,0,0,0
10203,1,Argentina,301,3,0,0,1,1,0,1,0
10156,1,Argentina,298,2,0,100,0,1,0,0,1
10114,1,Argentina,266,2,1,100,1,1,0,1,1
