id,country,country_2,response
10131,1,Argentina,0
10121,1,Argentina,0
10148,1,Argentina,100
10187,1,Argentina,100
10149,1,Argentina,100
10092,1,Argentina,100
10284,1,Argentina,100
10230,1,Argentina,100
10371,1,Argentina,100
10250,1,Argentina,0
10151,1,Argentina,100
10210,1,Argentina,100
10309,1,Argentina,100
10011,1,Argentina,100
10002,1,Argentina,0
10215,1,Argentina,0
10327,1,Argentina,100
10019,1,Argentina,100
10363,1,Argentina,0
10081,1,Argentina,0
10018,1,Argentina,0
10249,1,Argentina,100
10186,1,Argentina,100
10206,1,Argentina,100
10373,1,Argentina,0
10222,1,Argentina,0
10100,1,Argentina,100
10212,1,Argentina,0
10353,1,Argentina,0
10329,1,Argentina,0
10096,1,Argentina,0
10378,1,Argentina,100
10004,1,Argentina,0
10386,1,Argentina,0
10005,1,Argentina,100
10351,1,Argentina,0
10318,1,Argentina,100
10248,1,Argentina,0
10177,1,Argentina,0
10355,1,Argentina,0
10144,1,Argentina,0
10228,1,Argentina,100
10122,1,Argentina,100
10328,1,Argentina,0
10108,1,Argentina,0
10118,1,Argentina,0
10325,1,Argentina,100
10195,1,Argentina,100
10354,1,Argentina,0
10286,1,Argentina,0
10082,1,Argentina,100
10338,1,Argentina,0
10164,1,Argentina,0
10180,1,Argentina,0
10053,1,Argentina,100
10024,1,Argentina,0
10281,1,Argentina,0
10340,1,Argentina,0
10134,1,Argentina,0
10188,1,Argentina,100
10087,1,Argentina,100
10234,1,Argentina,100
10047,1,Argentina,100
10372,1,Argentina,100
10280,1,Argentina,100
10031,1,Argentina,0
10104,1,Argentina,100
10181,1,Argentina,0
10360,1,Argentina,100
10120,1,Argentina,100
10362,1,Argentina,0
10048,1,Argentina,0
10398,1,Argentina,100
10342,1,Argentina,0
10052,1,Argentina,0
10214,1,Argentina,0
10178,1,Argentina,100
10235,1,Argentina,100
10253,1,Argentina,0
10344,1,Argentina,0
10339,1,Argentina,0
10139,1,Argentina,100
10197,1,Argentina,100
10133,1,Argentina,100
10240,1,Argentina,0
10170,1,Argentina,100
10232,1,Argentina,0
10130,1,Argentina,100
10205,1,Argentina,0
10301,1,Argentina,100
10299,1,Argentina,0
10200,1,Argentina,100
10059,1,Argentina,0
10312,1,Argentina,0
10302,1,Argentina,100
10275,1,Argentina,100
10085,1,Argentina,100
10093,1,Argentina,0
10335,1,Argentina,0
10146,1,Argentina,100
10367,1,Argentina,100
